po number,vehicle number,departure time
7007406767,กท.78-7993,2022-03-03 21:10:26
7007409297,สค.70-6123,2022-03-03 21:24:44
7007406805,กท.74-9067,2022-03-03 21:27:37
7007406881,กท.79-5578,2022-03-03 21:53:52
7007409271,กท.79-5579,2022-03-03 22:00:55
7007409967,สค.70-4074,2022-03-03 22:03:17
7007408083,กท.79-1830,2022-03-03 22:11:17
7007410671,ชม.70-5300,2022-03-03 22:34:29
7007410622,กท.74-9070,2022-03-03 22:40:53
7007411274,สค.70-6119,2022-03-04 01:40:52
7007411271,สค.70-2917,2022-03-04 01:44:43
7007411273,สค.70-4333,2022-03-04 01:48:48
7007411275,ชม.70-5302,2022-03-04 02:06:09
7007411301,ลพ.70-0785,2022-03-04 02:22:03
7007411290,สค.70-3937,2022-03-04 02:30:44
7007411272,สค.70-4386,2022-03-04 02:31:42
7007411325,ชม.70-5299,2022-03-04 02:53:06
7007411351,ชม.70-5261,2022-03-04 03:32:31
7007411350,ชม.70-5195,2022-03-04 03:46:23
7007411372,นม.70-6730,2022-03-04 05:00:37
7007411394,ชม.70-5301,2022-03-04 05:53:38
7007406846,กท.78-1149,2022-03-04 07:35:17
7007406861,กท.78-6742,2022-03-04 07:39:51
7007406828,กท.79-5843,2022-03-04 08:21:23
7007406873,กท.79-2717,2022-03-04 08:23:09
7007409522,กท.79-5584,2022-03-04 08:31:44
7007411461,สค.70-6125,2022-03-04 08:41:33
7007411495,สค.70-4335,2022-03-04 08:52:18
7007410120,กท.77-8133,2022-03-04 09:02:19
7007406765,กท.77-9738,2022-03-04 09:05:29
7007406787,กท.79-0643,2022-03-04 09:26:04
7007409277,กท.79-0144,2022-03-04 09:29:05
7007411520,สค.70-3935,2022-03-04 09:31:23
7007406825,กท.79-0642,2022-03-04 09:44:17
7007408211,กท.79-2716,2022-03-04 09:45:15
7007406833,กท.79-0841,2022-03-04 10:02:48
7007409265,กท.79-1961,2022-03-04 10:04:21
7007406884,กท.60-4205,2022-03-04 10:10:49
7007406839,กท.76-4825,2022-03-04 10:18:54
7007406818,กท.77-8134,2022-03-04 10:38:40
7007411649,ชม.70-5122,2022-03-04 10:45:45
7007408104,กท.78-6739,2022-03-04 10:49:24
7007411806,กท.79-3257,2022-03-04 11:01:51
7007412025,นม.70-5434,2022-03-04 11:17:11
7007411850,ชม.70-5125,2022-03-04 11:25:36
7007406820,กท.79-0644,2022-03-04 11:34:00
7007412262,กท.79-8105,2022-03-04 11:38:42
7007411828,นม.70-6730,2022-03-04 11:45:15
7007412274,กท.79-8104,2022-03-04 11:56:09
7007406879,กท.74-9070,2022-03-04 12:15:29
7007408954,กท.78-6744,2022-03-04 12:19:31
7007412212,ชม.70-4355,2022-03-04 12:34:32
7007408084,ฉช.82-7443,2022-03-04 12:38:02
7007412523,กท.79-3156,2022-03-04 12:45:59
7007412265,กท.61-7783,2022-03-04 12:47:42
7007412236,กท.79-2717,2022-03-04 12:59:57
7007406791,กท.77-8134,2022-03-04 13:07:33
7007412280,ชบ.84-7139,2022-03-04 13:19:19
7007412529,กท.77-6494,2022-03-04 13:19:44
7007412846,กท.79-2898,2022-03-04 13:28:37
7007412534,กท.75-9797,2022-03-04 13:56:52
7007412576,จบ.80-8222,2022-03-04 14:05:29
7007406883,กท.77-8133,2022-03-04 14:15:34
7007412625,ชม.70-5420,2022-03-04 14:16:00
7007406836,กท.79-0841,2022-03-04 14:24:23
7007406876,กท.79-1961,2022-03-04 14:41:18
7007412991,จบ.80-3645,2022-03-04 14:56:57
7007406814,กท.77-9738,2022-03-04 15:00:45
7007406877,กท.78-6739,2022-03-04 15:16:36
7007413044,กท.79-3257,2022-03-04 15:24:33
7007409260,กท.79-0144,2022-03-04 15:25:30
7007413053,ลพ.70-0785,2022-03-04 15:39:52
7007413657,กท.78-4646,2022-03-04 16:02:28
7007413171,รย.82-0448,2022-03-04 16:13:46
7007406831,กท.78-1149,2022-03-04 16:16:04
7007412435,กท.78-7993,2022-03-04 16:20:36
7007413123,ฉช.81-3257,2022-03-04 16:39:05
7007413322,ชบ.85-3878,2022-03-04 16:45:34
7007413366,กท.78-5932,2022-03-04 16:50:00
7007413359,รย.81-1375,2022-03-04 17:05:32
7007412431,กท.79-1830,2022-03-04 17:10:43
7007413524,ชม.70-5300,2022-03-04 17:42:18
7007413454,กท.79-2716,2022-03-04 17:45:07
7007413515,กท.79-5840,2022-03-04 17:47:41
7007413309,กท.79-5584,2022-03-04 17:56:09
7007413737,ชม.70-5421,2022-03-04 18:21:42
7007413595,สค.70-4074,2022-03-04 18:22:58
7007413561,กท.79-8993,2022-03-04 18:34:26
7007413736,ชม.70-5123,2022-03-04 18:45:14
7007413698,กท.79-3259,2022-03-04 19:01:45
7007413417,ฉช.81-4230,2022-03-04 19:11:30
7007413834,รย.71-2637,2022-03-04 19:21:59
7007413697,กท.77-9738,2022-03-04 19:26:53
7007413605,กท.78-6739,2022-03-04 19:53:43
7007413968,กท.79-1818,2022-03-04 20:02:13
7007414056,รย.81-6767,2022-03-04 20:18:28
7007413969,กท.79-3258,2022-03-04 20:32:04
7007414106,ชม.70-5302,2022-03-04 20:44:40
7007413687,กท.79-0644,2022-03-04 20:47:07
7007414149,กท.79-3257,2022-03-04 20:55:33
7007414219,ชม.70-5299,2022-03-04 21:27:36
7007414600,สค.70-4333,2022-03-05 01:23:04
7007414601,ลพ.70-0785,2022-03-05 01:51:09
7007414605,สค.70-2507,2022-03-05 01:59:25
7007414602,สค.70-6119,2022-03-05 02:07:04
7007414610,ชม.70-4355,2022-03-05 02:10:54
7007414613,สค.70-6124,2022-03-05 02:17:57
7007414606,ชม.70-5301,2022-03-05 02:22:59
7007414612,กท.79-3257,2022-03-05 02:31:02
7007414637,สค.70-4397,2022-03-05 03:03:32
7007414680,กท.79-8995,2022-03-05 04:33:51
7007414682,กท.78-4646,2022-03-05 05:07:19
7007414691,ชม.70-5261,2022-03-05 06:31:18
7007414731,ชบ.85-3878,2022-03-05 07:26:09
7007413775,กท.78-6742,2022-03-05 07:43:36
7007414736,สค.70-6123,2022-03-05 07:52:50
7007414735,สค.70-4335,2022-03-05 07:58:29
7007414740,กท.61-6634,2022-03-05 08:08:18
7007413670,กท.78-1149,2022-03-05 08:21:41
7007414728,ชบ.82-4190,2022-03-05 08:21:55
7007413665,กท.79-0641,2022-03-05 08:43:32
7007414743,สค.70-3893,2022-03-05 08:53:40
7007413608,กท.79-0841,2022-03-05 09:14:32
7007413602,กท.79-0642,2022-03-05 09:21:27
7007414756,ชบ.84-7975,2022-03-05 09:24:40
7007413695,กท.78-6744,2022-03-05 09:27:10
7007413604,กท.77-8134,2022-03-05 09:38:22
7007413692,กท.79-0144,2022-03-05 09:43:13
7007413689,กท.78-7993,2022-03-05 09:49:03
7007414840,สค.70-2918,2022-03-05 10:04:28
7007414777,กท.79-5841,2022-03-05 10:09:10
7007414843,กท.79-7691,2022-03-05 10:26:17
7007414850,นม.70-6589,2022-03-05 10:29:30
7007413693,กท.74-9070,2022-03-05 10:39:28
7007414846,กท.79-3259,2022-03-05 10:53:56
7007414892,กท.79-8104,2022-03-05 10:59:40
7007414883,กท.79-8105,2022-03-05 11:02:36
7007414886,ชบ.85-5327,2022-03-05 11:08:08
